Id ,Tagline,Subcategory,Category,Title,Url,Language,Story content
1,Some mysteries fade with time… but what if time forgets you?,Supernatural Thriller,Thriller,The Man Who Vanished Twice,,ENGLISH,"Arjun Desai was an ordinary software engineer in Mumbai, leading a quiet life with his wife, Aditi. He was punctual, responsible, and had no enemies. That’s why when he went missing one day, it shocked everyone. His phone was found in his office, his bank accounts untouched, and his last known location was his own home. The police investigated, but there was no ransom call, no sign of struggle—just a man who vanished into thin air.
For three years, Aditi tried to move on. The loneliness was unbearable, but she slowly rebuilt her life. Then, on a stormy night, her doorbell rang. When she opened it, she gasped. Arjun stood there, soaking wet, looking exactly as he had on the day he disappeared—same clothes, same neatly combed hair, and most terrifyingly, the same confused expression.
Aditi broke down in tears, hugging him, but when she pulled back, she noticed something strange. His skin was ice-cold. ""Where have you been?"" she asked. Arjun shook his head. ""I... don’t know. I remember leaving for work, and now I’m here.""
The police were baffled. No one knew what happened. His medical tests were normal, except his body showed no signs of aging. It was as if time had frozen for him. But before any answers could be found, he vanished again—this time, forever.
Desperate, Aditi checked the CCTV footage outside their apartment. What she saw made her blood run cold. At exactly 11:57 PM, Arjun had stepped out onto the street… and then, in a blink, he was gone. No running, no struggle. Just gone.
Weeks later, Aditi received an email from Arjun’s account. It had no subject, no body—only an attachment. When she opened it, it was a video of her sleeping. The timestamp? 11:57 PM… tomorrow night.
"
2,Some whispers warn you. Others wait for you to listen.,Supernatural Thriller,Thriller,The Whispering Room,,ENGLISH,"When Rhea and her best friend, Meenal, moved into their new flat in Pune, they thought they had found a steal—a spacious apartment at a cheap price. The only problem? Every night at exactly 2:33 AM, they heard whispers in the corner of their bedroom.
At first, they ignored it, thinking it was the neighbors. But as the nights passed, the whispers became clearer, almost as if someone was standing right next to them. ""Rhea…"" it would say. ""Meenal…"" The voice was faint, distant, yet chillingly personal.
One night, Rhea recorded the sounds. The next morning, she played it back, expecting to hear muffled noises. Instead, a distorted voice whispered: ""Get out before it wakes up.""
Shaken, the girls decided to sleep in the living room. But that night, Meenal woke up screaming, her arms scratched and bleeding. ""Something grabbed me,"" she sobbed. They packed their bags and left the next morning.
A few days later, Rhea met their landlord, an old man with sunken eyes. When she mentioned the whispers, he went pale. ""The previous tenant… he disappeared in that room. One night, he just vanished. The only thing left was his phone, still recording. It caught his last words—‘It’s coming for me.’""
Rhea deleted the recording and never looked back. To this day, that apartment remains empty. No one stays past the first month.
"
3,Reality is a memory they chose for you.,Sci-Fi Thriller,Sci-Fi,The Forgotten Experiment,,ENGLISH,"Dr. Karthik Iyer, a neuroscientist, was working on a classified project involving artificial memory implantation. The goal was simple—help patients with dementia regain lost memories. But one night, something went wrong.
Karthik woke up in a different apartment. His furniture, his clothes, even his family was unfamiliar. ""Morning, darling,"" a woman said, kissing his forehead. He stiffened. ""Who... who are you?"" She laughed, assuming he was joking.
Panicked, he checked his phone. The photos were of him with this woman and two kids—children he had no memory of. He ran out, reaching his lab, only to find that his keycard didn’t work. His office had been reassigned. His colleagues didn’t recognize him. It was as if he had never existed.
That night, he found a single file on his laptop, titled ""You are the experiment."" Shaking, he clicked it. A video played. It was himself, speaking. ""Karthik, if you’re seeing this, they wiped your memory. You weren’t supposed to test it on yourself, but you did. You’re trapped in a fabricated life. Escape now.""
He slammed the laptop shut. His so-called ""wife"" walked in. ""Everything okay, honey?"" she asked, her eyes too… calculated. Too knowing. That’s when Karthik realized—this wasn’t his life. And if he stayed, he might never get his real one back.
"
4,"Some letters arrive late, but love never truly fades.",Romance Drama,Romance,The Last Letter,,ENGLISH,"Ramesh, a retired postman, had delivered thousands of letters in his career. It was a job he took great pride in—connecting people, delivering news, sometimes happiness, sometimes sorrow. After retiring, he lived alone in a quiet corner of the city, his only company being an old radio and his cat, Pillu. One day, while sorting through a dusty old bag in his attic, he found an envelope that had never been delivered. It was yellowed with age, the ink slightly smudged, but still legible. The date on it? December 12, 1979.
His heart sank. A letter undelivered meant a message never received. He couldn’t help but wonder: had it contained something important? A job offer? A final farewell? An apology? The thought of someone waiting decades for a letter that never arrived haunted him. Determined, he wiped the dust off, put on his old postman’s uniform for nostalgia, and decided to find the recipient.
After some searching, he found her—Sneha, an old woman now living in a small house near Marine Drive. When he knocked on her door and introduced himself, she looked confused at first. But when he handed her the letter, she gasped. Her fingers trembled as she traced the handwriting. ""This… this is Aditya’s handwriting,"" she whispered, eyes welling up.
She slowly opened the envelope, carefully unfolding the fragile paper. As she read, tears streamed down her face. ""I love you. If you love me too, meet me at the railway station on December 15, 1979. If you don’t, I will never bother you again,"" the letter read. She clutched it to her chest and let out a choked sob.
Ramesh sat beside her, unsure of what to say. Finally, she spoke, her voice barely above a whisper. ""I was there. I waited for hours. He never came.""
Determined to uncover the truth, Ramesh did some digging. He found an old newspaper article from December 15, 1979. His heart ached as he read the words: ""Young man killed in a tragic accident on his way to the station. Identified as Aditya Mehra.""
When he told Sneha, she let out a deep sigh, her gaze distant. ""All these years, I thought he had changed his mind. That he never really loved me. But he… he was coming to me.""
For days after that, she sat by her window, reading and rereading the letter, whispering, ""I waited, Aditya. I waited."" Ramesh left with a heavy heart, but he had given her closure—something she had unknowingly craved for decades.
That night, Sneha passed away in her sleep, the letter clutched tightly in her hands. Some say she died of old age, others say of heartbreak. But Ramesh liked to believe that, finally, Aditya had come for her—this time, not in a letter, but in spirit.
"
5,"Sometimes, the best love stories start with a prank",Comedy- Romance,Romance,The Great Fake Date Disaster,,ENGLISH,"Rahul had always been the shy guy in his group. While his friends went on multiple dates, he was the one third-wheeling, making awkward jokes, and pretending he wasn’t lonely. Tired of his sad love life, his friends took matters into their own hands and set him up on a blind date. ""She’s perfect for you,"" they promised. ""Just don’t be weird.""
Nervous but excited, Rahul arrived at the café early. He rehearsed possible conversation starters in his head: Do I talk about movies? Books? Oh god, what if she hates my jokes? He wiped his sweaty palms on his jeans just as a woman approached him hesitantly.
""Are you Rahul?"" she asked, tilting her head.
""Yes!"" he said a little too loudly. ""I mean… yeah. That’s me.""
The woman sighed in relief and sat down. ""I have a confession. My brother set me up for this. As a prank.""
Rahul blinked. ""Wait. My friends did the same thing.""
For a second, they just stared at each other, and then—laughter. Loud, uncontrollable laughter. People at the café turned to look, but neither of them cared. ""So basically, we’re two losers who got pranked into a fake date?"" she chuckled.
""Yup,"" Rahul grinned. ""Might as well make it fun.""
And fun it was. They talked about everything—movies, music, embarrassing childhood stories. Turns out, she loved Marvel, and he was a die-hard DC fan. ""Marvel has better storytelling,"" she argued. ""Excuse me, have you even seen The Dark Knight?"" he countered. They debated, teased each other, and ended up ordering the same coffee without realizing it.
As the evening went on, Rahul forgot all about the prank. It didn’t feel like a fake date anymore. It felt… real. And he liked it. ""You know,"" he said hesitantly, ""this might be the best prank my friends have ever played on me.""
She smirked. ""Agreed. But if we tell them we had fun, they’ll think they won. We can’t let that happen.""
""Absolutely not,"" Rahul grinned. ""So, what do we do?""
""Simple,"" she said. ""We tell them it was a disaster, never speak to each other again in front of them, and then—"" she took his phone and saved her number ""—we secretly meet up for an actual date.""
Rahul’s heart did a little happy dance. ""Oh, I like the way you think.""
When he met his friends later, they bombarded him with questions. ""How was it?"" ""Did she run away?"" ""Tell us everything!""
Rahul shook his head dramatically. ""Terrible. Worst date ever. I tripped on my way in, spilled coffee on her, and she called me a loser.""
His friends burst into laughter, patting his back in sympathy. Meanwhile, his phone buzzed under the table. A message from her:
""Same lie here. Next Friday, 7 PM? And this time, no pranks.""
Rahul smiled. Maybe, just maybe, his dating luck had finally changed.
"
6,Reality updated. But who’s behind the code?,Techno-Thriller ,Thriller,The Glitch in Reality,,ENGLISH,"Aryan was a software engineer, the kind who thrived on logic, algorithms, and facts. So when he started noticing glitches in reality, he thought he was going crazy.
It started small—déjà vu that lasted too long, objects shifting places when he wasn’t looking, his phone showing calls from numbers that didn’t exist. He brushed it off as stress.
Then, one morning, he woke up to find two notifications on his phone.
1. ""Your world has been reset.""
 2. ""Do not resist the update.""
Aryan frowned. Was this some kind of prank? He checked the sender. No source. Just empty space.
Confused, he got out of bed—only to freeze. His mirror reflected a different version of him. His hair was shorter. The scar on his forehead—one he had since childhood—was gone.
His heart pounded. He checked his phone again. The second notification had changed.
""We are fixing the inconsistency.""
Suddenly, his room flickered. For a brief second, everything—his bed, his walls, even his own hands—glitched. Like pixels breaking apart.
That’s when it hit him.
He wasn’t in the real world.
He grabbed his laptop and frantically searched for any signs of an anomaly. He dug deep into system logs, tracking his location data. What he found made his skin crawl.
His entire existence had been rewritten. His birth records were altered. His college degree—different. His old photos? Some were missing. Some were changed.
Panic set in. He called his best friend, Ananya. ""Something’s wrong with reality,"" he blurted.
Silence. Then, in a robotic tone, Ananya responded: ""You are not supposed to know.""
The call disconnected.
Aryan’s room flickered again. This time, it didn't stop. His walls began dissolving, his floor breaking apart into glowing lines of code. His body felt lighter, transparent.
A new notification flashed on his screen.
""Final reboot in progress. Thank you for participating.""
Aryan screamed as the world around him erased itself.
And then—he woke up.
Everything was normal. His room intact. His phone—no weird messages. He exhaled in relief. ""Must've been a nightmare,"" he muttered.
But then, his phone buzzed. A notification.
""Welcome back, Aryan. The update was successful.""
His blood ran cold.
"
7,The house knows your name… and it’s waiting.,Paranormal Thriller ,Thriller,The Whispering Shadows,,ENGLISH,"Rohan had never believed in ghosts. As a journalist, he had spent years debunking paranormal myths, exposing fake tantriks, and writing columns about how the human mind plays tricks. But when he received a letter about a haunted house in Himachal Pradesh, something about it felt different.
The letter came from an old man named Dev Bhandari, who claimed his ancestral home had been cursed for decades. ""It whispers to us,"" the letter read. ""It knows our names.""
Rohan smirked as he packed his bags. ""Another superstitious villager,"" he thought. He loved these cases—easy stories, quick trips, and a paycheck.
When he arrived, the house stood in eerie silence. It was a massive, ancient mansion, nestled between towering pine trees. Despite the cold, sweat formed on Rohan’s back. Something about the air felt... wrong.
Dev Bhandari greeted him at the gate. ""You shouldn't have come at night,"" he muttered. His eyes darted toward the house, as if afraid to look at it too long.
Rohan waved off his warning. ""So, tell me, what's the big mystery?""
Dev hesitated before speaking. ""Every night, we hear whispers. They come from the walls, the ceilings, the floors. And they say our names.""
Rohan raised an eyebrow. ""You hear your name being whispered?""
""Yes. And sometimes… the whispers answer us.""
Rohan laughed. ""Let’s see how real these whispers are."" He set up his recording equipment in the main hall and waited. Hours passed. Nothing. Just the ticking of a rusted clock.
At exactly 2:13 AM, the air turned ice-cold. A deep, slow creak echoed through the house. Rohan grabbed his flashlight.
Then, he heard it.
""Rohan.""
His breath hitched. It was soft—barely more than a sigh—but unmistakable. It came from the wall right beside him.
He turned sharply, pressing his ear against the old wooden panels. Silence. Then—
""Rohan… why are you here?""
His blood ran cold. He stumbled backward. The whisper wasn't an echo. It was a response.
Suddenly, the old chandelier overhead swung violently, as if shoved by invisible hands. The doors slammed shut. The whispers grew louder.
""You shouldn't have come.""
Rohan bolted. He yanked the doors open, only to find Dev Bhandari staring at him. But Dev’s eyes… weren’t normal. They were glassy, unfocused. His lips moved, but the voice that came out wasn’t his own.
""You ignored the warning. Now the house knows you.""
A sudden gust of wind snuffed out all the candles. And in the pitch darkness, the whispers laughed.
Rohan fled that night, never looking back. The next morning, when he checked his recording… The whispers were still there.
And they said his name.
"
8,"Every story has setbacks, but the best chapters are yet to be written.",Inspirational Drama ,Drama,The Unfinished Book,,ENGLISH,"Rohan was a boy from a middle-class family, blessed with a sharp mind but no direction. He lived off his father’s money, drifting through life without purpose. He had no story, just blank pages waiting to be written.
 
Then, she entered his life—a girl who wasn’t just love, but light. She guided him, helped him see his potential, and set him on the right path. Through many storms, she stayed, keeping him steady. For three years, life felt like a well-written novel—smooth, meaningful, and full of hope.
But fate had a cruel twist. 
One day, his greatest role model, his father, was gone. The man who had shaped his past was now just a memory. Rohan was lost again. No plan, only a crushing weight of responsibilities. The train had derailed, and the pages of his life stood still.
He tried to move forward, but the burden was heavy. Was this where his story ended? Would the book remain unfinished?
 
Then, while sorting through his father’s old belongings, he found a diary. Inside was a note written years ago:
 
""Life is a book, son. Some chapters are painful, some are beautiful. But never stop writing. The best pages are yet to come.""
 
At that moment, Rohan understood. His journey wasn’t over. He wasn’t just carrying responsibilities—he was carrying a legacy. With a deep breath, he turned the page…
"
9,"Even in the darkest shadows, a single light can save you.",Psychological Horror ,Horror,"The Shadow’s Whisper
",,ENGLISH,"Aniket had always been uncertain. Every decision—whether picking a flower for a bouquet or choosing a path in life—left him frozen. He worked at Blossom, the small flower shop his father had built with love, but love was something Aniket had never quite felt for himself. The city outside pulsed with life, but inside, he felt empty. His thoughts were a constant loop of “What if I fail?”, “What if I’m not enough?”
One scorching afternoon, seeking relief from the shop’s suffocating walls, he walked across a bridge. The sun cast long shadows, and that’s when he noticed it. The man ahead of him had a shadow that moved... but not like normal shadows. It twisted, its edges writhing unnaturally. Then—it spoke.Aniket’s stomach clenched. He blinked, sure he was imagining it. But then—his own shadow whispered. ""You’re nothing, Aniket."" He stiffened. The voice was low, venomous. He looked down. His shadow stretched long, lips curling into a sneer.
 
""You should have never been born.""
 
His breath turned shallow. He turned to leave, but his shadow—it didn’t follow. It stayed. Watching.
The Descent
The whispers didn’t stop. Every moment, every corner, the shadow was there. Lurking. Watching. Growing.
 
""You don’t belong here."" ""You’re a mistake.""
 
He stopped looking at mirrors. Stopped going out unless he had to. Blossom became his only refuge, but even among the flowers, the words still echoed.
 
Then one night, as he locked the shop, he saw it. The shadow was no longer beneath him.
It stood across the street, taller, darker. Smiling. And then—it stepped forward.
The Final Choice
 
Aniket ran. His feet pounded against the pavement, heart hammering. Neon lights blurred past, the city roaring around him. But the shadow followed, its whispers turning into screams.
 
He found himself on the bridge. The wind howled. The river below was black, stretching into nothingness.
 
The shadow stood at the edge now. Waiting. It lifted a hand and pointed downward.
""End it.""

Aniket’s legs trembled. Maybe it was right. Maybe he was just... nothing. He stepped closer.
Then—a flicker of white. A flower.
A single white lily, clinging to the rusted railing, its petals bruised but still standing. Aniket stared. His breath steadied. If a fragile flower could hold on, so could he. ""No.""
The shadow flinched.
He took a step back. Then another.
 
It screamed. It shrieked, writhing, shrinking, curling into itself. Until it was gone. The Aftermath
The next morning, Aniket stood outside Blossom, staring at the ""Open"" sign.
 
The world hadn’t changed. The city still rushed, the doubts still lingered. But for the first time, he knew—
 
They didn’t control him anymore. And that was enough.
"
10,A simple act of kindness can change your life in unexpected ways.,Inspirational Drama,Drama,"The Power of a Simple Gesture 
",,ENGLISH,"Rahul was running late for his final college exam — the one that could decide his future. Just as he reached the college gate, he saw an old man with a walking stick, trembling as cars rushed past.
 
Rahul hesitated. He could still make it if he hurried — but the man's frightened eyes made him stop. He ran back, took the man's hand, and carefully guided him across the road.

""Thank you, son. You're the first person to stop for me today,"" the man said with a warm smile. Rahul smiled back and sprinted toward the exam hall, heart racing.
 
He was five minutes late. The professor stood at the door, arms crossed. Before Rahul could explain, the professor said, ""Take your seat. Someone called ahead and explained why you were late.""
 
After the exam, Rahul saw the old man sitting on a bench. ""Did you...?"" Rahul asked. The man smiled. ""I know your professor. I made the call.""
""Why?"" Rahul asked.
 
""Because you helped me when you had everything to lose,"" the man replied.
 
That day, Rahul realized that kindness shapes not just others — but the person you become. And sometimes, the universe rewards those who choose to care.
 
"
